Unnamed: 0.1,Unnamed: 0,id,latitude,longitude,time,edge,speed,traj_future,angle,time1
0,0,5,1,1,0,P,1.2127994,C,147.7783,10-9
1,1,5,1,1,60,C,1.6484169,C,171.219,10-9
2,2,5,1,1,120,C,0.7044954,I,230.23036,10-9
3,3,5,1,1,180,I,1.52,E,190,10-9
4,4,5,1,1,240,E,1.396894,M,182.59348,10-9
5,5,5,1,1,300,M,1.52,P,159,10-9
6,6,5,1,1,360,P,1.0600669,P,148.1022,10-9
7,7,5,1,1,420,P,1.1595367,C,140.06323,10-9
8,8,5,1,1,480,C,1.0341027,K,147.65488,10-9
9,9,5,1,1,540,K,1.3775878,K,241,10-9
10,10,5,1,1,600,K,0.7599711,A,162.5,10-9
11,11,5,1,1,660,A,0.6394985,A,226.9204,10-9
12,12,5,1,1,720,A,1.3788558,C,188.18079,10-9
13,13,5,1,1,780,C,1.256289,Z,198.02357,10-9
14,14,5,1,1,840,Z,0.92531735,H,86.5,10-9
15,15,5,1,1,900,H,0.4233598,L,236.87799,10-9
16,16,5,1,1,960,L,1.1334885,Z,193.67496,10-9
17,17,5,1,1,1020,Z,0.9814797,G,186.29286,10-9
18,18,5,1,1,1080,G,1.0665321,M,213.67018,10-9
19,19,5,1,1,1140,M,0.8812676,C,175.97853,10-9
20,20,5,1,1,1200,C,1.52,M,144,10-9
21,21,5,1,1,1260,M,0.68084204,I,105.53296,10-9
22,22,5,1,1,1320,I,1.1928649,O,127.650116,10-9
23,23,5,1,1,1380,O,0.34956518,L,83.260155,10-9
24,24,5,1,1,1440,L,0.6308978,I,169.86638,10-9
25,25,5,1,1,1500,I,1.659995,D,82.0593,10-9
26,26,5,1,1,1560,D,0.76,F,160,10-9
27,27,5,1,1,1620,F,1.0297074,O,228.14104,10-9
28,28,5,1,1,1680,O,2.28,F,169,10-9
29,29,5,1,1,1740,F,1.1368768,O,111.99725,10-9
30,30,5,1,1,1800,O,1.52,C,104,10-9
31,31,5,1,1,1860,C,1.52,Z,149,10-9
32,32,5,1,1,1920,Z,1.0791049,G,160.08249,10-9
33,33,5,1,1,1980,G,0.59093475,N,202.57115,10-9
34,34,5,1,1,2040,N,0.6131275,F,159.50905,10-9
35,35,5,1,1,2100,F,0.76,B,146,10-9
36,36,5,1,1,2160,B,1.52,B,213,10-9
37,37,5,1,1,2220,B,0,B,0,10-9
38,38,5,1,1,2280,B,0,B,0,10-9
39,39,5,1,1,2340,B,0,B,0,10-9
41,41,5,1,1,2400,B,1.2,P,184.3,10-9
0,0,5,1,1,3600,P,1.2127994,C,147.7783,11-10
1,1,5,1,1,3660,C,1.6484169,C,171.219,11-10
2,2,5,1,1,3720,C,0.7044954,I,230.23036,11-10
3,3,5,1,1,3780,I,1.52,E,190,11-10
4,4,5,1,1,3840,E,1.396894,M,182.59348,11-10
5,5,5,1,1,3900,M,1.52,P,159,11-10
6,6,5,1,1,3960,P,1.0600669,P,148.1022,11-10
7,7,5,1,1,4020,P,1.1595367,C,140.06323,11-10
8,8,5,1,1,4080,C,1.0341027,K,147.65488,11-10
9,9,5,1,1,4140,K,1.3775878,K,241,11-10
10,10,5,1,1,4200,K,0.7599711,A,162.5,11-10
11,11,5,1,1,4260,A,0.6394985,A,226.9204,11-10
